-75611.85243936, 20079.42207567,-299088.02159008
-61882.4887825, 88316.99017852, 156226.49993443
-1803.54511315,-14487.57164286,-4190.39657742
 182694.82547048,-341466.46773811,-359713.92908498
-397830.25373551,-218385.10068337,-723919.83597511
-325266.91181764, 181178.24881194,-208941.2639907
-504262.38649282, 314509.18358196, 235352.70656207
 254110.32403264,-186324.18781956,-280427.80022048
 351826.56311916,-229719.85083725,-177826.56271253
-126860.16701419,-550595.13046693,-353899.28095757
 64893.88208042, 111609.49671021,-19314.40758583
-81779.71998115,-150560.13094163, 288404.29558844
-87796.18643933, 623851.50761551,-333506.44241659
 36852.60336424,-438512.32792255,-254958.43870382
 99016.64797867, 219927.9080108,-262849.16395853
 221323.17133255, 213306.73314172, 90746.07073653
 37468.55621733, 36937.25264246,-100697.41396352
 513801.57325251,-286092.7409901,-336554.14682788
 331803.66327224, 471055.34173476,-260997.3709569
-170523.46457672, 16447.44843674,-267288.7795519
-3620.34550174, 5970.8466691,-5603.09133168
 68200.11229514, 73539.79245884, 82545.56903963
 364164.68854809,-379950.76166411,-428185.85965725
 96550.31872217,-337064.66954836,-222954.15485054
-290104.78022126, 273270.37856963, 197236.70638846
 653335.16718523,-233116.2769412, 72926.90373645
-7206.00087414, 2457.10541996, 24248.20222662
-452021.3541477, 160759.10774099, 276514.45166523
 245287.57685768, 242053.81446236, 48370.69789195
 56585.11243766,-37719.84098841,-8358.79089976
-618459.82193035, 219870.84750523, 207109.78774353
-747940.78301088, 354291.76654891, 40654.55406994
-583586.63884503, 51554.17106961,-184488.1908169
 29612.65942634,-119608.05246444,-251188.19473442
-44084.79710934,-203445.23893568, 112259.37229033
 606396.66549974,-270503.4205048, 98107.69593671
 174236.406436,-328260.70808884,-398500.23764543
-50994.55989837,-35011.58285806, 35300.70559854
 59914.60795284,-11226.26700025, 103149.81800879
-70364.88496433,-156106.94581076, 117620.54177619
 222730.723539,-525323.49671969,-286782.07895149
-1772.47114196,-520.99111381, 3082.65169477
-176343.1173072, 252305.71034056, 17098.93703157
-139717.71944981,-447499.39803126,-324797.6554438
-32227.13109068, 1608.55017426, 49563.33672752
